tile_id,source,coverage_id,wcs_version,metadata_provenance,requested_bounds_epsg27700,requested_shape,recorded_response_bounds_epsg27700,recorded_response_shape,recorded_response_transform,policy_version,policy_acceptance,policy_name,rejection_category,coverage_relationship,geometric_pattern,resolution_changed,target_support_cells,target_cells_without_recorded_support,england_land_cells_100m,missing_support_cells_over_land,missing_support_cells_outside_land,historical_alignment_performed,historical_alignment_method,historical_reprojection_evidence,evidence_based_classification,proposed_disposition
r0000c0030,road,562c9d56-7c2d-4d42-83bb-578d6e97a517:Road_Noise_Lden_England_Round_4_All,1.0.0,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[382600.0,647600.0,392600.0,657600.0]","[1000,1000]","[382600.0,647600.0,392600.0,657600.0]","[1000,1000]","[10.0,0.0,382600.0,0.0,-10.0,657600.0,0.0,0.0,1.0]",1,accepted,exact-target-grid,,no_declared_domain_in_supplied_config,exact-requested-grid,False,1000000,0,389,,,False,,not recorded,Exact requested grid,A. supported without alignment because it satisfies the exact contract
r0000c0030,rail,3fb3c2d7-292c-4e0a-bd5b-d8e4e1fe2947:Rail_Noise_Lden_England_Round_4_All,1.0.0,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[382600.0,647600.0,392600.0,657600.0]","[1000,1000]","[382600.0,647600.0,392600.0,657600.0]","[1000,1000]","[10.0,0.0,382600.0,0.0,-10.0,657600.0,0.0,0.0,1.0]",1,accepted,exact-target-grid,,no_declared_domain_in_supplied_config,exact-requested-grid,False,1000000,0,389,,,False,,not recorded,Exact requested grid,A. supported without alignment because it satisfies the exact contract
r0000c0030,airport,dac9cba4-abe7-43bd-b8e9-8a83da52edd8__Airport_Noise_ALL_Lden,2.0.1,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[382595.0,647595.0,392605.0,657605.0]","[1000,1000]",,,,1,skipped,,,outside declared coverage,skipped-no-raw-grid,,,,,,,,,not recorded,Deliberately skipped source request,Retain explicit airport outside-domain skip; no acoustic presence is asserted
r0000c0031,road,562c9d56-7c2d-4d42-83bb-578d6e97a517:Road_Noise_Lden_England_Round_4_All,1.0.0,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[392600.0,647600.0,402600.0,657600.0]","[1000,1000]","[392600.0,647600.0,402600.0,657600.0]","[1000,1000]","[10.0,0.0,392600.0,0.0,-10.0,657600.0,0.0,0.0,1.0]",1,accepted,exact-target-grid,,no_declared_domain_in_supplied_config,exact-requested-grid,False,1000000,0,6360,,,False,,not recorded,Exact requested grid,A. supported without alignment because it satisfies the exact contract
r0000c0031,rail,3fb3c2d7-292c-4e0a-bd5b-d8e4e1fe2947:Rail_Noise_Lden_England_Round_4_All,1.0.0,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[392600.0,647600.0,402600.0,657600.0]","[1000,1000]","[392600.0,647600.0,402600.0,657600.0]","[1000,1000]","[10.0,0.0,392600.0,0.0,-10.0,657600.0,0.0,0.0,1.0]",1,accepted,exact-target-grid,,no_declared_domain_in_supplied_config,exact-requested-grid,False,1000000,0,6360,,,False,,not recorded,Exact requested grid,A. supported without alignment because it satisfies the exact contract
r0000c0031,airport,dac9cba4-abe7-43bd-b8e9-8a83da52edd8__Airport_Noise_ALL_Lden,2.0.1,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[392595.0,647595.0,402605.0,657605.0]","[1000,1000]",,,,1,skipped,,,outside declared coverage,skipped-no-raw-grid,,,,,,,,,not recorded,Deliberately skipped source request,Retain explicit airport outside-domain skip; no acoustic presence is asserted
r0000c0032,road,562c9d56-7c2d-4d42-83bb-578d6e97a517:Road_Noise_Lden_England_Round_4_All,1.0.0,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[402600.0,647600.0,412600.0,657600.0]","[1000,1000]","[402600.0,647600.0,412600.0,657600.0]","[1000,1000]","[10.0,0.0,402600.0,0.0,-10.0,657600.0,0.0,0.0,1.0]",1,accepted,exact-target-grid,,no_declared_domain_in_supplied_config,exact-requested-grid,False,1000000,0,90,,,False,,not recorded,Exact requested grid,A. supported without alignment because it satisfies the exact contract
r0000c0032,rail,3fb3c2d7-292c-4e0a-bd5b-d8e4e1fe2947:Rail_Noise_Lden_England_Round_4_All,1.0.0,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[402600.0,647600.0,412600.0,657600.0]","[1000,1000]","[402600.0,647600.0,412600.0,657600.0]","[1000,1000]","[10.0,0.0,402600.0,0.0,-10.0,657600.0,0.0,0.0,1.0]",1,accepted,exact-target-grid,,no_declared_domain_in_supplied_config,exact-requested-grid,False,1000000,0,90,,,False,,not recorded,Exact requested grid,A. supported without alignment because it satisfies the exact contract
r0000c0032,airport,dac9cba4-abe7-43bd-b8e9-8a83da52edd8__Airport_Noise_ALL_Lden,2.0.1,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[402595.0,647595.0,412605.0,657605.0]","[1000,1000]",,,,1,skipped,,,outside declared coverage,skipped-no-raw-grid,,,,,,,,,not recorded,Deliberately skipped source request,Retain explicit airport outside-domain skip; no acoustic presence is asserted
r0001c0029,road,562c9d56-7c2d-4d42-83bb-578d6e97a517:Road_Noise_Lden_England_Round_4_All,1.0.0,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[372600.0,637600.0,382600.0,647600.0]","[1000,1000]","[372600.0,637600.0,382600.0,647600.0]","[1000,1000]","[10.0,0.0,372600.0,0.0,-10.0,647600.0,0.0,0.0,1.0]",1,accepted,exact-target-grid,,no_declared_domain_in_supplied_config,exact-requested-grid,False,1000000,0,491,,,False,,not recorded,Exact requested grid,A. supported without alignment because it satisfies the exact contract
r0001c0029,rail,3fb3c2d7-292c-4e0a-bd5b-d8e4e1fe2947:Rail_Noise_Lden_England_Round_4_All,1.0.0,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[372600.0,637600.0,382600.0,647600.0]","[1000,1000]","[372600.0,637600.0,382600.0,647600.0]","[1000,1000]","[10.0,0.0,372600.0,0.0,-10.0,647600.0,0.0,0.0,1.0]",1,accepted,exact-target-grid,,no_declared_domain_in_supplied_config,exact-requested-grid,False,1000000,0,491,,,False,,not recorded,Exact requested grid,A. supported without alignment because it satisfies the exact contract
r0001c0029,airport,dac9cba4-abe7-43bd-b8e9-8a83da52edd8__Airport_Noise_ALL_Lden,2.0.1,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[372595.0,637595.0,382605.0,647605.0]","[1000,1000]",,,,1,skipped,,,outside declared coverage,skipped-no-raw-grid,,,,,,,,,not recorded,Deliberately skipped source request,Retain explicit airport outside-domain skip; no acoustic presence is asserted
r0001c0030,road,562c9d56-7c2d-4d42-83bb-578d6e97a517:Road_Noise_Lden_England_Round_4_All,1.0.0,coverage_id from supplied config; absent from historical source_info; wcs_version from supplied config; absent from historical source_info,"[382600.0,637600.0,392600.0,647600.0]","[1000,1000]","[382600.0,637600.0,392600.0,647600.0]","[1000,1000]","[10.0,0.0,382600.0,0.0,-10.0,647600.0,0.0,0.0,1.0]",1,accepted,exact-target-grid,,no_declared_domain_in_supplied_config,exact-requested-grid,False,1000000,0,6094,,,False,,not recorded,Exact requested grid,A. supported without alignment because it satisfies the exact contract
