target,model,bin,n,predicted_probability,observed_fraction,threshold_db
lden,phase2c_bounded_finite_line,0,100,0.005226985775272954,0.01,40.0
lden,phase2c_bounded_finite_line,1,100,0.020461043682448405,0.03000030000300003,40.0
lden,phase2c_bounded_finite_line,2,100,0.04243524519775325,0.05000060000720009,40.0
lden,phase2c_bounded_finite_line,3,100,0.08861855910548426,0.050001900072202746,40.0
lden,phase2c_bounded_finite_line,4,100,0.2023863418312997,0.14057449600812935,40.0
lden,phase2c_bounded_finite_line,5,100,0.35299493459076436,0.22618529369512125,40.0
lden,phase2c_bounded_finite_line,6,100,0.5162916670242591,0.4850032866527075,40.0
lden,phase2c_bounded_finite_line,7,100,0.6820712899790583,0.6903577633247544,40.0
lden,phase2c_bounded_finite_line,8,100,0.8415455918802115,0.8090992290977693,40.0
lden,phase2c_bounded_finite_line,9,100,0.9465457366661044,1.0,40.0
lnight,phase2c_bounded_finite_line,0,100,0.055514798513246665,0.04,35.0
lnight,phase2c_bounded_finite_line,1,100,0.11578647651752824,0.14000056000224,35.0
lnight,phase2c_bounded_finite_line,2,100,0.17654187931505194,0.22999983999871998,35.0
lnight,phase2c_bounded_finite_line,3,100,0.2680788365355684,0.21000366016836775,35.0
lnight,phase2c_bounded_finite_line,4,100,0.4476284861770409,0.2200098805335488,35.0
lnight,phase2c_bounded_finite_line,5,100,0.6250895018855346,0.5064822844658656,35.0
lnight,phase2c_bounded_finite_line,6,100,0.7573007099350557,0.7446592099069334,35.0
lnight,phase2c_bounded_finite_line,7,100,0.8606152405975563,0.9066473853071356,35.0
lnight,phase2c_bounded_finite_line,8,100,0.9453641672074619,0.9661575254382601,35.0
lnight,phase2c_bounded_finite_line,9,100,0.9816257049296262,1.0,35.0
