phase,target,model,rmse_db,mae_db,bias_db,p90_absolute_error_db,censor_brier,censor_probability_bias,spearman_rank_reported
Phase 2B,lden,phase2b_proxy,7.81259871576154,6.122923418454081,-2.0800597416500235,13.084647816018446,0.10543712675618647,0.017308388534382317,0.5351924601761366
Phase 2C,lden,phase2c_proxy,7.767345163832326,6.101208197805478,-2.052124738682828,13.012631389887199,0.10502739455678187,0.01749335012571792,0.539748312665082
Phase 2C,lden,phase2c_finite_line,7.6487887280754006,6.0895492041763015,-2.010185263827563,12.840585809485368,0.102144664451797,0.02004800371106319,0.5717397598803269
Phase 2C,lden,phase2c_complete,6.969445915662814,5.432800599199236,-1.7942908119542988,11.666082835391801,0.09921609032110063,0.013383230763902135,0.6207944773225974
Phase 2C,lden,phase2c_bounded_finite_line,7.648780906208138,6.089542631945619,-2.0101722406029556,12.840606911510996,0.10214456301985458,0.02004755758931296,0.5717397598803269
Phase 2B,lnight,phase2b_proxy,8.812562773401275,6.930797083879689,-3.659983441538509,14.931512438822416,0.13677517629713848,0.02461649754457477,0.2878468114167634
Phase 2C,lnight,phase2c_proxy,8.726257261508149,6.881936268250626,-3.6027687976487286,14.924008777923056,0.1358818618631411,0.024195763633970056,0.2970156057947366
Phase 2C,lnight,phase2c_finite_line,8.657392907621233,6.857483479556014,-3.4441613926801145,14.53368534808353,0.13139951140736233,0.02841553740505693,0.35468677962755396
Phase 2C,lnight,phase2c_complete,7.778668252320546,6.0183830674945,-3.029708820833439,13.418902641430341,0.1228127741094435,0.02289164436845381,0.45526240115279526
Phase 2C,lnight,phase2c_bounded_finite_line,8.657385676195846,6.857475350413552,-3.4441633292817286,14.533685748245754,0.13139945334313452,0.028415519076271576,0.35468677962755396
