region_id,os_links,direct_traffic_links,imputed_traffic_links,direct_fraction,geometry_only_fraction
heathrow_london,40734,2783,37951,0.06832130407030981,0.9058526047036873
birmingham_m42,38427,2083,36344,0.054206677596481644,0.9195097197283161
manchester_m60,70868,4679,66189,0.06602415758875656,0.9094513743861827
suburban_leeds,37078,1715,35363,0.046253843249366204,0.9118075408598091
norfolk_flat,15557,856,14701,0.055023462107090054,0.9188146814938613
south_downs,14427,752,13675,0.052124488805711515,0.9175157690441533
peak_district,1833,93,1740,0.05073649754500818,0.8859792689579924
north_york_moors,3570,60,3510,0.01680672268907563,0.9355742296918768
east_anglia_coast,2773,27,2746,0.009736747205192933,0.9671835557158313
northumberland_remote,967,11,956,0.011375387797311272,0.9855222337125129
