region_id,road_class,match_category,n,fraction_of_class,median_match_distance_m,median_match_score
heathrow_london,a_road,direct_high_confidence,2618,0.7222068965517241,13.249496345029518,10.128567687870536
heathrow_london,a_road,direct_medium_confidence,2,0.0005517241379310345,2.612225786999463,4.965170322840008
heathrow_london,a_road,imputed,1005,0.2772413793103448,,
heathrow_london,b_road,geometry_only,1582,1.0,,
heathrow_london,minor,geometry_only,35317,1.0,,
heathrow_london,motorway,direct_high_confidence,158,0.7523809523809524,11.128072496942144,9.996900152184862
heathrow_london,motorway,direct_medium_confidence,5,0.023809523809523808,0.0,5.0
heathrow_london,motorway,imputed,47,0.22380952380952382,,
birmingham_m42,a_road,direct_high_confidence,1992,0.6666666666666666,17.61100316794323,10.0
birmingham_m42,a_road,direct_medium_confidence,10,0.0033467202141900937,7.219026465738735,3.882712142987205
birmingham_m42,a_road,imputed,986,0.32998661311914324,,
birmingham_m42,b_road,geometry_only,2045,1.0,,
birmingham_m42,minor,geometry_only,33289,1.0,,
birmingham_m42,motorway,direct_high_confidence,81,0.7714285714285715,5.4718770865113795,10.0
birmingham_m42,motorway,imputed,24,0.22857142857142856,,
manchester_m60,a_road,direct_high_confidence,4317,0.7199799866577719,11.808278216797891,10.152327100842976
manchester_m60,a_road,direct_medium_confidence,33,0.005503669112741828,11.635923825383454,4.225040781063341
manchester_m60,a_road,imputed,1646,0.27451634422948634,,
manchester_m60,b_road,geometry_only,2348,1.0,,
manchester_m60,minor,geometry_only,62103,1.0,,
manchester_m60,motorway,direct_high_confidence,324,0.7695961995249406,4.305991587664326,10.0
manchester_m60,motorway,direct_medium_confidence,5,0.011876484560570071,0.0,4.0
manchester_m60,motorway,imputed,92,0.21852731591448932,,
suburban_leeds,a_road,direct_high_confidence,1573,0.5224178013948855,17.08072482711477,9.992269516373891
suburban_leeds,a_road,direct_medium_confidence,21,0.006974427100631019,7.969427735294437,4.7959329511355
suburban_leeds,a_road,imputed,1417,0.4706077715044836,,
suburban_leeds,b_road,geometry_only,1069,1.0,,
suburban_leeds,minor,geometry_only,32739,1.0,,
suburban_leeds,motorway,direct_high_confidence,119,0.4594594594594595,1.745922733292045,10.0
suburban_leeds,motorway,direct_medium_confidence,2,0.007722007722007722,0.0,3.75
suburban_leeds,motorway,imputed,138,0.5328185328185329,,
norfolk_flat,a_road,direct_high_confidence,853,0.6753760886777513,12.597382523117194,10.134800313262765
norfolk_flat,a_road,direct_medium_confidence,3,0.0023752969121140144,5.167747436539834,3.9310967008461355
norfolk_flat,a_road,imputed,407,0.3222486144101346,,
norfolk_flat,b_road,geometry_only,299,1.0,,
norfolk_flat,minor,geometry_only,13995,1.0,,
south_downs,a_road,direct_high_confidence,751,0.6310924369747899,14.263093823890415,10.029634279598103
south_downs,a_road,direct_medium_confidence,1,0.0008403361344537816,0.0,5.0
south_downs,a_road,imputed,438,0.3680672268907563,,
south_downs,b_road,geometry_only,624,1.0,,
south_downs,minor,geometry_only,12613,1.0,,
peak_district,a_road,direct_high_confidence,93,0.4449760765550239,10.039336615901918,10.0
peak_district,a_road,imputed,116,0.5550239234449761,,
peak_district,b_road,geometry_only,72,1.0,,
peak_district,minor,geometry_only,1552,1.0,,
north_york_moors,a_road,direct_high_confidence,60,0.2608695652173913,20.3269805172224,9.631973127442388
north_york_moors,a_road,imputed,170,0.7391304347826086,,
north_york_moors,b_road,geometry_only,195,1.0,,
north_york_moors,minor,geometry_only,3145,1.0,,
east_anglia_coast,a_road,direct_high_confidence,27,0.2967032967032967,9.71193944908804,9.891593517060441
east_anglia_coast,a_road,imputed,64,0.7032967032967034,,
east_anglia_coast,b_road,geometry_only,325,1.0,,
east_anglia_coast,minor,geometry_only,2357,1.0,,
northumberland_remote,a_road,direct_high_confidence,11,0.7857142857142857,7.295119806387505,9.881797695822716
northumberland_remote,a_road,imputed,3,0.21428571428571427,,
northumberland_remote,b_road,geometry_only,41,1.0,,
northumberland_remote,minor,geometry_only,912,1.0,,
